Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
14,4,18,77,12389,46794,High,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
8,6,7,58,38922,42161,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
9,1,3,64,92672,30277,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
14,8,16,22,51435,34572,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,Yes
17,0,19,28,88074,8763,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
3,9,17,70,65260,48118,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Non-Adherent,Yes
4,1,6,58,71512,19878,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,None,None,Stable,Non-Compliant,Adherent,No
2,0,18,42,9099,40779,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
6,6,13,42,15335,20695,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
4,2,15,34,60861,40899,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,None,Inactive,Stable,Compliant,Non-Adherent,Yes
12,6,8,38,73932,38664,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
2,0,1,27,49131,9739,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
4,0,16,73,13304,22608,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,None,Inactive,Unstable,Non-Compliant,Adherent,No
7,1,18,43,95475,9502,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,None,Unstable,Compliant,Non-Adherent,Yes
3,1,19,39,99812,30588,High,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
6,1,13,66,31396,48298,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,None,Unstable,Compliant,Adherent,No
4,5,12,49,43423,32885,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
2,6,9,60,31623,33832,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,No_Property,None,Inactive,Stable,Compliant,Adherent,Yes
1,0,11,41,81501,2189,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
3,6,8,73,71970,46231,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,No_Property,Strong,None,Stable,Compliant,Adherent,Yes
7,2,18,40,38199,39076,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
5,0,8,37,73627,23986,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Weak,Active,Stable,Non-Compliant,Adherent,No
6,3,2,29,98346,30591,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,No
18,0,2,45,26430,45000,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
3,2,4,33,93426,19937,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,No
6,6,13,76,68524,12243,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,None,Active,Unstable,Compliant,Non-Adherent,Yes
13,0,1,35,4121,47653,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,Yes
5,2,1,27,30215,41932,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
1,0,2,32,52970,16558,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,None,None,Stable,Compliant,Adherent,No
12,1,8,79,85852,42416,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,None,Stable,Non-Compliant,Non-Adherent,Yes
18,6,7,78,9748,38793,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,Yes
10,2,15,33,73127,27129,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,None,Active,Stable,Compliant,Adherent,No
10,3,11,33,67466,11771,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Weak,Active,Unstable,Compliant,Adherent,No
9,0,15,50,91944,44839,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
18,2,3,56,54047,44912,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,None,Inactive,Unstable,Compliant,Adherent,Yes
14,2,15,41,46282,49301,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
1,2,8,28,79177,44227,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
4,1,8,19,32364,30861,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,No
6,9,1,48,95722,41680,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
10,1,4,57,56335,1638,High,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
2,7,10,79,469,14000,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Weak,None,Unstable,Compliant,Adherent,Yes
16,0,1,19,20554,12789,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Active,Unstable,Non-Compliant,Adherent,Yes
8,1,11,56,2992,9560,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
7,3,17,61,47687,49878,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,Yes
1,5,7,29,32144,28026,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
15,4,8,44,15095,6936,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,Yes
12,3,15,79,30021,20551,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
1,3,6,34,78898,43419,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
5,2,18,63,5292,47825,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,No
16,1,19,49,37614,34459,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
6,0,2,31,98068,20461,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
9,2,6,26,96630,4583,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Unstable,Compliant,Adherent,No
10,9,6,79,64867,39268,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
11,9,6,71,28428,46352,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,No_Property,Strong,Active,Stable,Compliant,Non-Adherent,Yes
7,3,6,72,13451,46785,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
10,2,13,41,15862,47549,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
9,2,13,35,45932,39123,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,None,Stable,Compliant,Adherent,No
14,7,14,74,96322,16678,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,None,Active,Stable,Non-Compliant,Adherent,Yes
8,1,1,64,44680,26073,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,None,Active,Unstable,Compliant,Adherent,No
7,3,16,38,62566,10135,Medium,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
3,1,4,67,25205,11815,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
0,0,10,34,64312,20194,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,No
6,1,19,44,20041,6340,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
9,0,2,30,21591,41572,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,None,Inactive,Stable,Non-Compliant,Adherent,No
15,8,10,21,24936,47422,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,None,Inactive,Stable,Non-Compliant,Adherent,Yes
4,3,7,63,19825,12037,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
13,7,17,66,5663,3635,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Compliant,Non-Adherent,Yes
16,6,8,77,92523,5984,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
5,6,12,54,13056,43176,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
17,1,3,55,1773,9697,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
10,3,6,79,95817,20187,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Owns_Property,None,Active,Stable,Compliant,Adherent,No
15,0,11,36,66618,26195,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
2,9,19,30,66715,46121,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,None,Unstable,Compliant,Adherent,Yes
2,8,1,79,57720,26492,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Weak,Active,Stable,Compliant,Adherent,Yes
5,5,18,71,64316,42801,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Inactive,Stable,Compliant,Non-Adherent,Yes
12,3,19,65,90132,38787,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
14,8,2,50,94036,16812,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,Strong,None,Stable,Non-Compliant,Adherent,Yes
9,3,3,71,32628,11485,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,None,Active,Unstable,Compliant,Adherent,No
19,4,13,59,92188,32484,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,No_Property,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
17,2,19,68,92176,29103,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,None,Active,Stable,Compliant,Adherent,Yes
2,3,8,62,18946,1913,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
6,0,2,47,31329,33926,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,None,Inactive,Stable,Compliant,Adherent,No
3,7,10,34,81143,30752,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
13,9,4,70,82285,17153,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
10,1,6,67,84109,16304,High,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
9,0,19,42,10768,3844,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,None,Unstable,Compliant,Adherent,No
3,3,15,42,95997,32923,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,None,None,Stable,Compliant,Adherent,No
15,0,6,73,19629,10390,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,Yes
10,3,3,71,38538,16776,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
10,1,17,72,68791,27325,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,No
8,2,8,60,41605,34079,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Adherent,No
4,0,6,58,82671,36314,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,No
0,3,5,21,67929,37075,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
4,0,15,53,73660,27972,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
9,7,5,70,46246,9185,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
19,5,1,73,4878,10226,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
14,0,18,65,65321,5991,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,Yes
6,0,4,35,65564,43195,Medium,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,No
0,0,1,18,39213,19655,Medium,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
3,0,6,65,55679,14256,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,No
1,3,9,59,82970,32231,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
2,2,9,18,85079,23620,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Owns_Property,None,Active,Unstable,Compliant,Adherent,No
2,0,14,26,10426,42136,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
18,6,6,18,91124,36896,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,3,2,53,47245,34126,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Weak,None,Unstable,Compliant,Adherent,No
8,4,12,67,98568,14942,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Unstable,Non-Compliant,Non-Adherent,Yes
16,0,11,29,41133,39682,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
13,1,6,30,11432,38251,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
4,1,5,34,15016,25752,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,None,Active,Unstable,Compliant,Adherent,No
6,0,19,36,43066,35846,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Weak,Active,Stable,Compliant,Adherent,No
1,1,2,77,63359,15152,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Compliant,Non-Adherent,Yes
1,8,5,79,65935,1520,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
15,0,19,69,90316,32316,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,None,None,Stable,Non-Compliant,Adherent,Yes
6,2,14,58,60626,26410,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
8,2,8,22,29556,23661,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
10,2,16,70,70096,39762,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Weak,None,Unstable,Compliant,Adherent,No
1,2,15,63,58453,36304,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
3,5,7,34,34954,11001,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Weak,None,Stable,Non-Compliant,Adherent,Yes
10,3,3,71,38538,16776,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
19,8,3,32,54054,38246,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,Yes
2,2,1,32,30131,37267,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,Weak,None,Unstable,Compliant,Adherent,No
13,7,8,25,68988,12784,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
10,7,11,61,25902,7854,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
17,3,2,73,75629,28839,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,None,Stable,Compliant,Non-Adherent,Yes
6,1,9,48,66386,30478,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,No
18,2,13,72,5339,26009,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
7,0,2,39,32041,44818,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,No_Property,None,Active,Stable,Compliant,Adherent,No
4,2,6,61,45280,3736,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,None,Stable,Non-Compliant,Adherent,No
10,0,14,74,75285,4833,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Weak,Active,Stable,Compliant,Adherent,No
14,7,6,26,98230,15469,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,None,Inactive,Stable,Compliant,Non-Adherent,Yes
1,0,5,34,93578,19707,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
18,8,16,35,51713,29171,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,None,None,Stable,Compliant,Adherent,Yes
11,0,1,63,90386,13777,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,Yes
6,0,18,66,54355,49097,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Inactive,Unstable,Compliant,Adherent,No
8,1,11,56,2992,9560,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
8,2,8,60,41605,34079,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Strong,Inactive,Unstable,Non-Compliant,Adherent,No
1,2,4,43,93959,26013,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
0,1,9,58,91775,37687,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Active,Stable,Compliant,Adherent,No
15,3,3,27,1058,38179,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,Weak,Active,Stable,Non-Compliant,Adherent,Yes
15,4,2,51,22878,33150,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
11,7,6,49,22799,23005,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,9,14,23,32134,23219,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Weak,None,Unstable,Compliant,Adherent,Yes
10,3,15,38,35503,6311,High,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Unstable,Non-Compliant,Adherent,No
